Ko,Intersigh Interval,Intereupnea Interval,
0.1,,2.9166674,
0.2,,2.57285798,
0.3,153.52555,2.80305469,
0.4,115.105071,2.59627291,
0.5,92.1015833,2.74468421,
0.6,76.771125,3.16481431,
0.7,65.7448929,3.0355818,
0.8,57.5605469,2.77306162,
0.9,51.1647778,4.14655882,
1,46.0678,2.65016377,
2,23.0242619,3.8467334,
3,15.3500078,4.77241908,
4,11.5127588,4.85863424,
5,9.20994626,32.628819,
6,7.67381589,,
7,6.57888667,7.77922817,
8,5.7538343,,
9,5.11674742,,
10,4.60662616,,
11,4.18632839,,
12,,4.1965443,
13,,4.17044223,
14,,2.46473246,
15,,2.44368321,
